showpart,signature,bpm,num_bars,transition,color
klickintro,4/4,192.0,2,instant,#ffffff
intro,4/4,192.0,8,instant,#00ffff
bpart,4/4,192.0,15,instant,#0040ff
vers1,4/4,192.0,16,instant,#00ffff
prechorus1,4/4,192.0,8,instant,#ffff00
chorus1,4/4,192.0,11,instant,#ff0080
postchorus1,4/4,192.0,11,instant,#ff0080
vers2,4/4,192.0,16,instant,#00ffff
prechorus1,4/4,192.0,8,instant,#ffff00
chorus1,4/4,192.0,11,instant,#ff0080
bridge,4/4,192.0,8,instant,#00ff00
bpart2,4/4,192.0,8,instant,#0040ff
solo,4/4,192.0,16,instant,#ff8000
drop,2/4,192.0,15,instant,#0040ff
pause,4/4,192.0,15,instant,#00ff00
chorus4,4/4,192.0,13,instant,#ff0080
outro,4/4,192.0,5,gradual,#ff0080
